"","age","sex","education","has_religion","religion_importance","income_family","employment","born_canada","province","n"
"3380",42,"Female","Bachelor degree","Yes","Very important","$125,000 and more","employement","born outside canada","Quebec",1
"3381",42,"Female","Bachelor degree","Yes","Very important","$50,000 to $74,999","employement","born outside canada","Ontario",2
"3382",42,"Female","Bachelor degree","Yes","Very important","$50,000 to $74,999","employement","born outside canada","Quebec",1
"3383",42,"Female","Bachelor degree","Yes","Very important","$75,000 to $99,999","employement","born in Canada","Ontario",1
"3384",42,"Female","Bachelor degree","Yes","Very important","$75,000 to $99,999","employement","born outside canada","Nova Scotia",1
"3385",42,"Female","College","No","Not important at all","$125,000 and more","employement","born in Canada","British Columbia",1
"3386",42,"Female","College","No","Not important at all","$50,000 to $74,999","employement","born in Canada","New Brunswick",1
"3387",42,"Female","College","No","Not important at all","$50,000 to $74,999","employement","born in Canada","Ontario",1
"3388",42,"Female","College","No","Not important at all","$75,000 to $99,999","employement","born in Canada","Manitoba",1
"3389",42,"Female","College","No","Not important at all","Less than $25,000","employement","born outside canada","Ontario",1
"3390",42,"Female","College","No","Not very important","$100,000 to $ 124,999","employement","born in Canada","Quebec",1
"3391",42,"Female","College","No","Not very important","$125,000 and more","employement","born in Canada","Ontario",1
"3392",42,"Female","College","No","Very important","$100,000 to $ 124,999","employement","born in Canada","British Columbia",1
"3393",42,"Female","College","No","Very important","$125,000 and more","employement","born outside canada","Quebec",2
"3394",42,"Female","College","Yes","Not important at all","$125,000 and more","employement","born in Canada","Manitoba",1
"3395",42,"Female","College","Yes","Not important at all","$125,000 and more","employement","born in Canada","Ontario",1
"3396",42,"Female","College","Yes","Not important at all","$125,000 and more","employement","born in Canada","Quebec",1
"3397",42,"Female","College","Yes","Not important at all","$50,000 to $74,999","employement","born in Canada","Nova Scotia",1
"3398",42,"Female","College","Yes","Not important at all","$75,000 to $99,999","employement","born in Canada","Quebec",2
"3399",42,"Female","College","Yes","Not very important","$100,000 to $ 124,999","employement","born in Canada","Ontario",1
"3400",42,"Female","College","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Manitoba",1
"3401",42,"Female","College","Yes","Somewhat important","$125,000 and more","employement","born in Canada","New Brunswick",1
"3402",42,"Female","College","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Quebec",1
"3403",42,"Female","College","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Saskatchewan",1
"3404",42,"Female","College","Yes","Somewhat important","$125,000 and more","employement","born outside canada","Saskatchewan",1
"3405",42,"Female","College","Yes","Somewhat important","$25,000 to $49,999","employement","born in Canada","Quebec",1
"3406",42,"Female","College","Yes","Somewhat important","$50,000 to $74,999","employement","born outside canada","Ontario",1
"3407",42,"Female","College","Yes","Somewhat important","$75,000 to $99,999","employement","born in Canada","British Columbia",1
"3408",42,"Female","College","Yes","Somewhat important","$75,000 to $99,999","employement","born in Canada","New Brunswick",1
"3409",42,"Female","College","Yes","Somewhat important","$75,000 to $99,999","employement","born in Canada","Ontario",1
"3410",42,"Female","College","Yes","Somewhat important","$75,000 to $99,999","employement","born in Canada","Quebec",2
"3411",42,"Female","College","Yes","Somewhat important","Less than $25,000","employement","born outside canada","Ontario",1
"3412",42,"Female","College","Yes","Very important","$100,000 to $ 124,999","employement","born in Canada","New Brunswick",1
"3413",42,"Female","College","Yes","Very important","$100,000 to $ 124,999","employement","born in Canada","Ontario",2
"3414",42,"Female","College","Yes","Very important","$125,000 and more","employement","born in Canada","British Columbia",1
"3415",42,"Female","College","Yes","Very important","$125,000 and more","employement","born in Canada","Ontario",2
"3416",42,"Female","College","Yes","Very important","$125,000 and more","employement","born outside canada","Alberta",1
"3417",42,"Female","College","Yes","Very important","$125,000 and more","employement","born outside canada","Quebec",1
"3418",42,"Female","College","Yes","Very important","$25,000 to $49,999","employement","born in Canada","Manitoba",1
"3419",42,"Female","College","Yes","Very important","$25,000 to $49,999","employement","born in Canada","New Brunswick",1
"3420",42,"Female","College","Yes","Very important","$25,000 to $49,999","employement","born in Canada","Quebec",1
"3421",42,"Female","College","Yes","Very important","$50,000 to $74,999","employement","born in Canada","New Brunswick",1
"3422",42,"Female","College","Yes","Very important","$50,000 to $74,999","employement","born in Canada","Prince Edward Island",1
"3423",42,"Female","College","Yes","Very important","$50,000 to $74,999","employement","born outside canada","Quebec",1
"3424",42,"Female","College","Yes","Very important","$75,000 to $99,999","employement","born outside canada","Ontario",1
"3425",42,"Female","College","Yes","Very important","$75,000 to $99,999","employement","born outside canada","Quebec",1
"3426",42,"Female","High school","No","Not important at all","$125,000 and more","employement","born in Canada","Alberta",1
"3427",42,"Female","High school","No","Not important at all","$50,000 to $74,999","employement","born in Canada","Ontario",1
"3428",42,"Female","High school","No","Not very important","$75,000 to $99,999","employement","born in Canada","British Columbia",1
"3429",42,"Female","High school","No","Very important","$75,000 to $99,999","employement","born in Canada","British Columbia",1
"3430",42,"Female","High school","Yes","Not important at all","$25,000 to $49,999","employement","born in Canada","Ontario",1
"3431",42,"Female","High school","Yes","Not important at all","$75,000 to $99,999","employement","born in Canada","Ontario",1
"3432",42,"Female","High school","Yes","Not very important","$125,000 and more","employement","born outside canada","Ontario",1
"3433",42,"Female","High school","Yes","Not very important","$50,000 to $74,999","employement","born in Canada","Quebec",1
"3434",42,"Female","High school","Yes","Somewhat important","$100,000 to $ 124,999","employement","born in Canada","Ontario",1
"3435",42,"Female","High school","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Alberta",1
"3436",42,"Female","High school","Yes","Somewhat important","$25,000 to $49,999","employement","born in Canada","Prince Edward Island",1
"3437",42,"Female","High school","Yes","Somewhat important","$50,000 to $74,999","employement","born in Canada","Alberta",1
"3438",42,"Female","High school","Yes","Somewhat important","$50,000 to $74,999","employement","born in Canada","New Brunswick",1
"3439",42,"Female","High school","Yes","Very important","$100,000 to $ 124,999","employement","born outside canada","Manitoba",1
"3440",42,"Female","High school","Yes","Very important","$100,000 to $ 124,999","employement","born outside canada","Ontario",1
"3441",42,"Female","High school","Yes","Very important","$125,000 and more","employement","born in Canada","Manitoba",1
"3442",42,"Female","High school","Yes","Very important","$50,000 to $74,999","employement","born outside canada","Ontario",1
"3443",42,"Female","Less than high school","Yes","Not very important","Less than $25,000","unemployement","born in Canada","Ontario",1
"3444",42,"Female","Less than high school","Yes","Very important","$75,000 to $99,999","employement","born outside canada","Manitoba",1
"3445",42,"Female","Trade diploma","No","Somewhat important","$100,000 to $ 124,999","employement","born in Canada","British Columbia",1
"3446",42,"Female","Trade diploma","Yes","Not important at all","$100,000 to $ 124,999","employement","born in Canada","Quebec",1
"3447",42,"Female","Trade diploma","Yes","Not important at all","$125,000 and more","employement","born in Canada","Quebec",1
"3448",42,"Female","Trade diploma","Yes","Not very important","$75,000 to $99,999","employement","born in Canada","Quebec",1
"3449",42,"Female","Trade diploma","Yes","Somewhat important","$25,000 to $49,999","employement","born in Canada","Nova Scotia",1
"3450",42,"Female","Trade diploma","Yes","Very important","$25,000 to $49,999","employement","born in Canada","Manitoba",1
"3451",42,"Female","Trade diploma","Yes","Very important","$50,000 to $74,999","employement","born outside canada","Alberta",1
"3452",42,"Female","University","Yes","Not important at all","$100,000 to $ 124,999","employement","born in Canada","Quebec",1
"3453",42,"Female","University","Yes","Somewhat important","$100,000 to $ 124,999","employement","born in Canada","New Brunswick",1
"3454",42,"Female","University","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Saskatchewan",1
"3455",42,"Female","University","Yes","Very important","$25,000 to $49,999","employement","born outside canada","British Columbia",1
"3456",42,"Male","Above bachelor","No","Not important at all","$125,000 and more","employement","born in Canada","Alberta",1
"3457",42,"Male","Above bachelor","No","Not important at all","$125,000 and more","employement","born in Canada","Ontario",1
"3458",42,"Male","Above bachelor","No","Not important at all","$125,000 and more","employement","born in Canada","Saskatchewan",1
"3459",42,"Male","Above bachelor","Yes","Not very important","$125,000 and more","employement","born outside canada","Alberta",1
"3460",42,"Male","Above bachelor","Yes","Not very important","$50,000 to $74,999","unemployement","born in Canada","Alberta",1
"3461",42,"Male","Above bachelor","Yes","Somewhat important","$100,000 to $ 124,999","employement","born outside canada","Ontario",1
